question_id,eq_id,part_number,question_count,time_limit_in_ms,audio_duration_in_ms
2624,p4-287,4,3,32454.421768707485,89363.26530612246
2625,p4-288,4,3,37879.18367346939,105637.55102040817
2626,p4-288,4,3,37879.18367346939,105637.55102040817
2627,p4-288,4,3,37879.18367346939,105637.55102040817
2628,p4-289,4,3,35005.71428571428,97017.14285714286
2629,p4-289,4,3,35005.71428571428,97017.14285714286
2630,p4-289,4,3,35005.71428571428,97017.14285714286
2631,p4-290,4,3,36198.639455782315,100595.91836734694
2632,p4-290,4,3,36198.639455782315,100595.91836734694
2633,p4-290,4,3,36198.639455782315,100595.91836734694
2634,p4-061,4,3,31235.374149659867,85706.1224489796
2635,p4-061,4,3,31235.374149659867,85706.1224489796
2636,p4-061,4,3,31235.374149659867,85706.1224489796
2637,p4-062,4,3,34465.85034013605,95397.55102040817
2638,p4-062,4,3,34465.85034013605,95397.55102040817
2639,p4-062,4,3,34465.85034013605,95397.55102040817
2640,p4-063,4,3,30625.850340136054,83877.55102040817
2641,p4-063,4,3,30625.850340136054,83877.55102040817
2642,p4-063,4,3,30625.850340136054,83877.55102040817
2643,p4-064,4,3,31479.18367346939,86437.55102040817
2644,p4-064,4,3,31479.18367346939,86437.55102040817
2645,p4-064,4,3,31479.18367346939,86437.55102040817
2646,p4-065,4,3,33377.4149659864,92132.2448979592
2647,p4-065,4,3,33377.4149659864,92132.2448979592
2648,p4-065,4,3,33377.4149659864,92132.2448979592
2649,p4-066,4,3,32271.564625850337,88814.69387755102
2650,p4-066,4,3,32271.564625850337,88814.69387755102
2651,p4-066,4,3,32271.564625850337,88814.69387755102
2652,p4-067,4,3,34117.551020408166,94352.6530612245
2653,p4-067,4,3,34117.551020408166,94352.6530612245
2654,p4-067,4,3,34117.551020408166,94352.6530612245
2655,p4-068,4,3,34570.340136054416,95711.02040816327
2656,p4-068,4,3,34570.340136054416,95711.02040816327
2657,p4-068,4,3,34570.340136054416,95711.02040816327
2658,p4-069,4,3,31931.972789115644,87795.91836734692
2659,p4-069,4,3,31931.972789115644,87795.91836734692
2660,p4-069,4,3,31931.972789115644,87795.91836734692
2661,p4-070,4,3,36686.25850340136,102058.77551020408
2662,p4-070,4,3,36686.25850340136,102058.77551020408
2663,p4-070,4,3,36686.25850340136,102058.77551020408
2664,p4-151,4,3,35354.01360544218,98062.04081632654
2665,p4-151,4,3,35354.01360544218,98062.04081632654
2666,p4-151,4,3,35354.01360544218,98062.04081632654
